Symbol,Description,ISIN,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
M&M,Mahindra & Mahindra Ltd.,INE101A01026,3433,INR,0.1283322638978035,2450782,0.8245624240698363,4209967194763,INR,20.89852072806964,164.27,INR,34.44917335079391,0.974745237040319,Consumer durables,NSE
ADANIENT,Adani Enterprises Limited,INE423A01024,3050,INR,-0.5867014341590613,854172,0.7691085899513781,4148215598145,INR,48.90320532451686,62.3681,INR,16.005185703231952,0.0424143556280587,Distribution services,NSE
ADANIENT,Adani Enterprises Limited,INE423A01024,3025,INR,-1.3050570962479608,37375,0.6093226777265878,4148215598145,INR,48.50235937923394,62.3681,INR,16.005185703231952,0.0424143556280587,Distribution services,BSE
ADANIPOWER,Adani Power Limited,INE814H01029,209.95,INR,-1.7318043529136518,11392298,0.5177700749777995,4079676939028,INR,28.402711075636844,7.3919,INR,14.85953135682764,0,Utilities,NSE
ADANIPOWER,Adani Power Limited,INE814H01029,210.25,INR,-0.6145119357126029,886974,0.6300140233725717,4079676939028,INR,28.443296040260286,7.3919,INR,14.85953135682764,0,Utilities,BSE
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,398,INR,0.12578616352201258,9131231,0.727665480359948,3911306435490,INR,19.50378069517747,20.4063,INR,5.9319130380614284,0.165310274669379,Finance,NSE
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036,393,INR,-0.050864699898267716,532465,0.5617556709665696,3911306435490,INR,19.25875832463504,20.4063,INR,5.9319130380614284,0.165310274669379,Finance,BSE
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,INE742F01042,1706.7,INR,0.33509700176367113,1099071,0.39276689475574283,3909818396484,INR,29.1268100792723,58.5955,INR,12.071570652589706,0.441956393635828,Transportation,NSE
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,INE742F01042,1691,INR,-0.3535651149086624,1504929,7.079779947235508,3909818396484,INR,28.858871415040404,58.5955,INR,12.071570652589706,0.441956393635828,Transportation,BSE
AXISBANK,Axis Bank Limited,INE238A01034,1255,INR,0.23961661341853036,107928,0.17988452709392383,3895428356445,INR,14.11222309681772,88.93,INR,-0.6146624944121559,0.0798722044728434,Finance,BSE
