model_name,total_params,train_time_sec,stopped_epoch,best_val_loss,best_val_mae
SimpleRNN,8257,128.62677478790283,11,0.0024613558780401945,0.034730058163404465
LSTM,26689,282.3377294540405,8,0.00244104559533298,0.034596264362335205
GRU,20737,294.65742349624634,8,0.0024327640421688557,0.034542594105005264
